GEO_ID,tract_geoid,NAME,population,median_household_income,poverty_universe_total,below_poverty_count,poverty_rate,complaint_count_2015,complaint_count_2025,complaint_change_2025_minus_2015
1400000US25025090600,25025090600,Census Tract 906; Suffolk County; Massachusetts,2219,60787.0,2219,582,26.22803064443443,495,328,-167
1400000US25025090700,25025090700,Census Tract 907; Suffolk County; Massachusetts,4562,92426.0,4562,863,18.917141604559404,892,833,-59
1400000US25025090901,25025090901,Census Tract 909.01; Suffolk County; Massachusetts,2971,55096.0,2971,1071,36.04846852911477,89,16,-73
1400000US25025091001,25025091001,Census Tract 910.01; Suffolk County; Massachusetts,3365,89265.0,3354,253,7.543231961836613,665,588,-77
1400000US25025091100,25025091100,Census Tract 911; Suffolk County; Massachusetts,4679,129732.0,4632,511,11.031951640759932,716,725,9
1400000US25025091200,25025091200,Census Tract 912; Suffolk County; Massachusetts,3055,67594.0,3030,975,32.17821782178218,731,962,231
1400000US25025091300,25025091300,Census Tract 913; Suffolk County; Massachusetts,2687,60962.0,2687,867,32.26646818012654,439,250,-189
1400000US25025091400,25025091400,Census Tract 914; Suffolk County; Massachusetts,3212,51926.0,3205,967,30.17160686427457,502,296,-206
1400000US25025091500,25025091500,Census Tract 915; Suffolk County; Massachusetts,3591,62717.0,3591,951,26.4828738512949,701,567,-134
1400000US25025091600,25025091600,Census Tract 916; Suffolk County; Massachusetts,2557,45321.0,2480,448,18.064516129032256,528,374,-154
1400000US25025091700,25025091700,Census Tract 917; Suffolk County; Massachusetts,3186,72780.0,3152,859,27.25253807106599,524,443,-81
1400000US25025091800,25025091800,Census Tract 918; Suffolk County; Massachusetts,3499,41817.0,3484,1120,32.14695752009185,653,366,-287
1400000US25025091900,25025091900,Census Tract 919; Suffolk County; Massachusetts,4678,74160.0,4622,734,15.880571181306792,761,439,-322
1400000US25025092000,25025092000,Census Tract 920; Suffolk County; Massachusetts,6148,59757.0,6128,1149,18.75,892,483,-409
1400000US25025092101,25025092101,Census Tract 921.01; Suffolk County; Massachusetts,6190,62368.0,6067,1046,17.240810944453603,1211,1126,-85
1400000US25025092200,25025092200,Census Tract 922; Suffolk County; Massachusetts,3642,107273.0,3593,400,11.132758140829392,871,609,-262
1400000US25025092300,25025092300,Census Tract 923; Suffolk County; Massachusetts,3890,73047.0,3890,592,15.218508997429304,558,466,-92
1400000US25025092400,25025092400,Census Tract 924; Suffolk County; Massachusetts,5987,56528.0,5987,1442,24.085518623684653,961,707,-254
1400000US25025100100,25025100100,Census Tract 1001; Suffolk County; Massachusetts,6080,42269.0,5951,1441,24.214417744916823,808,661,-147
1400000US25025100200,25025100200,Census Tract 1002; Suffolk County; Massachusetts,3420,74679.0,3392,714,21.04952830188679,437,344,-93
1400000US25025100300,25025100300,Census Tract 1003; Suffolk County; Massachusetts,3920,85344.0,3890,205,5.269922879177378,463,346,-117
1400000US25025100400,25025100400,Census Tract 1004; Suffolk County; Massachusetts,5109,115906.0,5024,1087,21.63614649681529,683,453,-230
1400000US25025100500,25025100500,Census Tract 1005; Suffolk County; Massachusetts,7694,66944.0,7491,1544,20.611400347083165,1220,977,-243
1400000US25025100601,25025100601,Census Tract 1006.01; Suffolk County; Massachusetts,6368,112446.0,6269,795,12.681448396873504,900,626,-274
1400000US25025100603,25025100603,Census Tract 1006.03; Suffolk County; Massachusetts,2269,140153.0,2198,169,7.688808007279345,546,500,-46
1400000US25025100700,25025100700,Census Tract 1007; Suffolk County; Massachusetts,4721,135450.0,4721,187,3.9610252065240417,988,446,-542
1400000US25025100800,25025100800,Census Tract 1008; Suffolk County; Massachusetts,5816,77224.0,5816,608,10.453920220082532,1147,597,-550
1400000US25025100900,25025100900,Census Tract 1009; Suffolk County; Massachusetts,4681,114034.0,4676,186,3.9777587681779294,867,479,-388
1400000US25025101001,25025101001,Census Tract 1010.01; Suffolk County; Massachusetts,6697,93452.0,6697,430,6.420785426310288,1011,812,-199
1400000US25025101002,25025101002,Census Tract 1010.02; Suffolk County; Massachusetts,6369,48667.0,6338,1635,25.796781319028085,736,559,-177
1400000US25025101101,25025101101,Census Tract 1011.01; Suffolk County; Massachusetts,4144,75357.0,4144,723,17.446911196911195,576,546,-30
1400000US25025101102,25025101102,Census Tract 1011.02; Suffolk County; Massachusetts,4733,46379.0,4733,1269,26.81174730614832,774,536,-238
1400000US25025110104,25025110104,Census Tract 1101.04; Suffolk County; Massachusetts,2204,79464.0,2194,463,21.103008204193255,341,193,-148
1400000US25025110105,25025110105,Census Tract 1101.05; Suffolk County; Massachusetts,2702,152019.0,2702,191,7.068837897853442,561,349,-212
